CNPJ_Fundo;Data_Referencia;Versao;Data_Entrega;Nome_Fundo;Data_Funcionamento;Publico_Alvo;Codigo_ISIN;Quantidade_Cotas_Emitidas;Fundo_Exclusivo;Cotistas_Vinculo_Familiar;Mandato;Segmento_Atuacao;Tipo_Gestao;Prazo_Duracao;Data_Prazo_Duracao;Encerramento_Exercicio_Social;Mercado_Negociacao_Bolsa;Mercado_Negociacao_MBO;Mercado_Negociacao_MB;Entidade_Administradora_BVMF;Entidade_Administradora_CETIP;Nome_Administrador;CNPJ_Administrador;Logradouro;Numero;Complemento;Bairro;Cidade;Estado;CEP;Telefone1;Telefone2;Telefone3;Site;Email
22.862.226/0001-34;2020-12-01;1;2021-03-31;MULTIOFFICES 1 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-11-18;INVESTIDOR QUALIFICADO;BRMTOFCTF003;163000;N;N;Títulos e Valores Mobiliários;Híbrido;Ativa;Indeterminado;;31/12;S;S;N;S;N;OLIVEIRA TRUST DTVM S.A.;22862226000134;Avenida das Américas;3434;Bloco 07, sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
22.957.521/0001-74;2020-12-01;1;2021-06-26;MULTI PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-12-20;INVESTIDOR PROFISSIONAL;BRPRTSCTF002;55727500;N;N;Renda;Shoppings;Ativa;Determinado;2036-12-20;31/12;S;S;N;S;S;BANCO MODAL S.A.;22957521000174;PRAIA DE BOTAFOGO;501;5 ANDAR - TORRE PÃO DE AÇÚCAR;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;2132237700;2132237746;;HTTPS://MODAL.COM.BR;FUNDOS.MODAL@MODAL.COM.BR
23.120.006/0001-06;2020-12-01;1;2021-05-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM BII BTS - FII;2016-08-09;INVESTIDOR QUALIFICADO;BRVTPACTF002;1601359;S;S;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;S;N;N;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;23120006000106;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;vwmprodutosestruturados@votorantimwm.com.br
23.120.027/0001-13;2020-12-01;1;2021-05-07;BB RENDA DE PAPÉIS IMOBILIÁRIOS II FUNDO DE INVESTIMENTO;2018-04-27;INVESTIDORES EM GERAL;BRRDPDCTF008;1078042;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;2033-04-27;31/12;S;S;N;S;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;23120027000113;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5096;;;www.bancobv.com.br;RI-VAM@bv.com.br
23.120.098/0001-16;2020-12-01;1;2021-05-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO LECREC;2015-12-17;INVESTIDORES EM GERAL;;2190609.0286;S;S;Renda;Outros;Passiva;Indeterminado;;31/12;N;S;N;N;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;23120098000116;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;RI-VAM@bv.com.br
23.179.381/0001-13;2020-12-01;1;2021-03-30;NIHAL - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-04-08;INVESTIDOR PROFISSIONAL;;88300;S;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;N;S;N;N;OLIVEIRA TRUST DTVM S.A.;23179381000113;Av. das Américas;3434;Bloco 07 Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640100;(21) 3514-000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
23.426.470/0001-17;2020-12-01;1;2021-03-18;BM II FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-02-03;INVESTIDOR PROFISSIONAL;;2248545.74566;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;23426470000117;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
23.532.837/0001-87;2020-12-01;1;2021-03-30;FUNDO DE INVESTIMENTO IMOBILIARIO JK E - FII;2015-12-01;INVESTIDOR PROFISSIONAL;BRJKEFCTF009;143848173.47;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRASIL PLURAL S.A. BANCO MULTIPLO;23532837000187;PR DE BOTAFOGO;228;sala 907;Botafogo;Rio de Janeiro;RJ;22.250-040;21 2814 0700;;;www.brasilplural.com;middleadm@bancogenial.com
23.533.796/0001-43;2020-12-01;1;2021-03-30;FUNDO DE INVESTIMENTO IMOBILIARIO JK D - FII;2015-12-01;INVESTIDOR PROFISSIONAL;BRJKDFCTF001;65691459.6;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;S;S;N;N;S;PLURAL S.A. BANCO MULTIPLO;23533796000143;PR BOTAFOGO;228;SALA 913 PARTE;BOTAFOGO;Rio de Janeiro;RJ;22250-040;(11) 3206-8000;(11) 3206-8888;;www.bancoplural.com;middleadm@bancogenial.com
23.537.203/0001-17;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIARIO MV9 - FII;2015-12-17;INVESTIDORES EM GERAL;BRMVFICTF001;77850000;N;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;23537203000117;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
23.538.112/0001-04;2020-12-01;1;2021-03-30;FUNDO DE INVESTIMENTO IMOBILIARIO SF - FII;2015-12-17;INVESTIDOR PROFISSIONAL;BRSFFICTF001;34550000;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;PLURAL S.A. BANCO MULTIPLO;23538112000104;PR DE BOTAFOGO;228;sala 907;Botafogo;Rio de Janeiro;RJ;22.250-040;11 3206 8000;;;www.bancoplural.com;middleadm@bancogenial.com
23.570.871/0001-46;2020-12-01;1;2021-03-31;TM FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-10-20;INVESTIDOR PROFISSIONAL;BRSARECTF006;468497662.19;N;N;Híbrido;Híbrido;Ativa;Indeterminado;;31/12;N;S;N;S;N;SANTANDER CACEIS BRASIL DTVM S.A.;23570871000146;Rua Amandor Bueno;474;1 andar;Santo Amaro;São Paulo;SP;04752-005;(11) 5538-5489;;;https://www.s3dtvm.com.br;SC_fundosimobiliarios@santandercaceis.com.br
23.582.914/0001-03;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO CJ - FII;2016-01-21;INVESTIDORES EM GERAL;BRCJFICTF007;46604055;N;N;Renda;Híbrido;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;23582914000103;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
23.648.935/0001-84;2020-06-01;2;2020-10-06;FII MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS - FII;2019-08-21;INVESTIDORES EM GERAL;BRMCCICTF008;7236625;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;23648935000184;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
23.740.527/0001-58;2020-12-01;1;2021-05-05;FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS;2017-07-11;INVESTIDORES EM GERAL;;12000000;S;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;N;S;N;N;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;23740527000158;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;RI-VAM@bv.com.br
23.740.552/0001-31;2020-12-01;1;2021-05-07;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM PATRIMONIAL XII;2016-04-06;INVESTIDOR PROFISSIONAL;BRVTXICTF009;103500;S;S;Desenvolvimento para Venda;Híbrido;Ativa;Indeterminado;;31/12;N;S;N;S;S;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;23740552000131;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5096;;;www.bancobv.com.br;RI-VAM@bv.com.br
23.740.595/0001-17;2020-06-01;1;2021-01-21;FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING;2018-08-30;INVESTIDORES EM GERAL;BRVSHOCTF002;2098800;N;N;Renda;Shoppings;Ativa;Indeterminado;;30/06;S;N;N;S;N;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.;23740595000117;Avenida das Nações Unidas;14171;torre A - 11º andar;Vila Gertrudes;São Paulo;SP;04794-000;(11) 5171-5359;;;www.vam.com.br;RI-VAM@bv.com.br
23.768.027/0001-24;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO TOP CENTER;2016-07-01;INVESTIDOR QUALIFICADO;0;322214000;S;N;Renda;Shoppings;Ativa;Indeterminado;;Dezembro;N;N;S;N;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;23768027000124;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3102;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
23.781.211/0001-04;2020-12-01;1;2021-04-01;FII NORTHWEST INVESTIMENTOS IMOBILIÁRIOS EM SAÚDE FUND I;2015-11-27;INVESTIDOR QUALIFICADO;BRLASCCTF003;12599010;N;N;Renda;Hospital;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;23781211000104;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
23.876.086/0001-16;2020-06-01;1;2020-09-28;JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB;2016-11-16;INVESTIDORES EM GERAL;BRJTPRCTF001;214674.8978;N;N;Desenvolvimento para Venda;Residencial;Ativa;Determinado;2021-11-16;30/06;S;N;N;S;N;PLANNER CORRETORA DE VALORES S.A.;23876086000116;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;investfundos@planner.com.br
23.964.843/0001-03;2020-06-01;1;2020-09-28;BRIO REAL ESTATE II;2018-07-06;INVESTIDORES EM GERAL;BRBRIMCTF008;76139.06422888;N;S;Híbrido;Residencial;Ativa;Determinado;2023-07-06;30/06;S;N;N;S;N;BRL TRUST DTVM S.A.;23.964.843/000;RUA IGUATEMI;151;19  ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451011;11 3133-0350;11 4871-2221;11 3133-0351;WWW.BRLTRUST.COM.BR;FII@BRLTRUST.COM.BR
23.964.908/0001-10;2020-12-01;1;2021-03-31;PRIME 16 FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-07-13;INVESTIDOR PROFISSIONAL;BR00KGCTF006;542458.96;S;N;Desenvolvimento para Venda;Híbrido;Passiva;Determinado;2030-12-23;30/12;N;S;N;S;N;SANTANDER CACEIS BRASIL DTVM S.A.;23964908000110;Rua Amandor Bueno;474;1 andar;Santo Amaro;São Paulo;SP;04752-005;(11) 5538-5489;;;https://www.s3dtvm.com.br;SC_fundosimobiliarios@santandercaceis.com.br
24.070.076/0001-51;2020-06-01;1;2020-09-25;EVEN PERMUTA KINEA FII FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-06-09;INVESTIDOR QUALIFICADO;BRKINPCTF001;7147934;N;N;Desenvolvimento para Venda;Residencial;Passiva;Determinado;2023-06-09;30/06;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;24070076000151;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;relacionamento.intrag@itau-unibanco.com.br
24.703.709/0001-11;2020-12-01;1;2021-03-18;FUNDO DE INVESTIMENTO IMOBILIÁRIO KEYCASH;2018-12-19;INVESTIDORES EM GERAL;;161941.74866549;N;N;Renda;Híbrido;Ativa;Determinado;2023-11-13;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;24703709000111;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
24.774.904/0001-32;2020-12-01;1;2021-03-31;NF CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-09-22;INVESTIDOR PROFISSIONAL;;37834.90731346;S;N;;;;Indeterminado;;31/12;N;N;S;N;N;FINAXIS CORRETORA;24774904000132;Avenida Paulista;1842;Torre Norte 1º andar cj. 17;Cerqueira Cesar;São Paulo;SP;01310-923;(11) 3526 9001;;;http://finaxis.com.br/;atendimento@finaxis.com.br
24.796.967/0001-90;2020-12-01;1;2021-03-31;LOFT II MAISON SÃO PAULO FUNDO DE INVESTIMENTO IMOBILIÁRIO;2011-05-28;INVESTIDOR QUALIFICADO;;1973250;N;N;Renda;Híbrido;Passiva;Indeterminado;;31/12;N;S;N;N;S;MODAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;24796967000190;PRAIA DE BOTAFOGO;501;6 ANDAR - TORRE PÃO DE AÇÚCAR;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;2132237700;2132237746;;HTTPS://MODAL.COM.BR;FUNDOS.MODAL@MODAL.COM.BR
24.814.916/0001-43;2020-12-01;1;2021-03-31;FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR;2016-05-23;INVESTIDOR QUALIFICADO;BRNPARCTF003;106686.8268;N;N;Híbrido;Outros;Ativa;Indeterminado;;30/12;S;S;N;S;N;PLANNER TRUSTEE DTVM LTDA;24814916000143;Avenida Brigadeiro Faria Lima;3900;10º andar;Itaim Bibi;São Paulo;SP;04538-132;(11) 2172-2600;0800 179 444;(11) 2172-2667;www.planner.com.br;investfundos@planner.com.br
24.853.044/0001-22;2020-12-01;1;2021-03-30;VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-12-10;INVESTIDORES EM GERAL;BRVILGCTF001;10760855;N;N;Renda;Logística;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;24853044000122;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
24.853.060/0001-15;2020-12-01;1;2021-03-31;XPCE RE FUNDO DE INVESTIMENTO IMOBILIÁRIO;2015-12-27;INVESTIDOR PROFISSIONAL;BRXPCECTF006;39530.429051;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;24853060000115;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
24.960.430/0001-13;2020-06-01;1;2020-09-18;KINEA INDICES DE PREÇOS FII;2016-09-16;INVESTIDOR QUALIFICADO;BRKNIPCTF001;32801764;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;24960430000113;AV BRIGADEIRO FARIA LIMA;3400;10º andar;ITAIM BIBI;SÃO PAULO;SP;04538-132;55-(11)30726012;;;www.intrag.com.br;produtosestruturados@itau-unibanco.com.br
24.976.492/0001-13;2020-12-01;1;2021-07-01;IRON CAPITAL REAL ESTATE I FUNDO DE INVESTIMENTO IMOBILIÁRIO;2019-06-03;INVESTIDOR QUALIFICADO;00000;11008.99208942;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;S;S;N;S;N;ÍNDIGO INVESTIMENTOS DTVM LTDA;24976492000113;RUA IGUATEMI;192;25° andar;Itaim Bibi;São Paulo;SP;01451-010;(11) 3113-0060;;;www.indigodtvm.com.br;compliance@indigodtvm.com.br
25.032.881/0001-53;2020-06-01;2;2020-12-21;FUNDO DE INVESTIMENTO IMOBILIÁRIO TG ATIVO REAL;2017-09-22;INVESTIDORES EM GERAL;BRTGARCTF009;3465671.30571059;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;25.032.881/000;AVENIDA BRIGADEIRO FARIA LIMA;2277;CONJUNTO 202;JARDIM PAULISTANO;SÃO PAULO;SP;01452000;(11) 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
25.032.881/0001-53;2020-12-01;1;2021-03-16;FUNDO DE INVESTIMENTO IMOBILIÁRIO TG ATIVO REAL;2016-12-09;INVESTIDORES EM GERAL;BRTGARCTF009;5963902.30571004;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;25032881000153;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
26.091.656/0001-50;2020-06-01;1;2020-09-25;OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2016-11-30;INVESTIDORES EM GERAL;BROUJPCTF006;2285013;N;N;Títulos e Valores Mobiliários;Híbrido;Ativa;Indeterminado;;30/06;S;N;N;S;N;FINAXIS CORRETORA;26091656000150;Avenida Paulista;1842;Torre Norte 1º andar cj. 17;Cerqueira Cesar;São Paulo;SP;01310-923;(11) 3526 9001;;;http://finaxis.com.br/;informacoesfundos@finaxis.com.br
26.191.053/0001-20;2020-12-01;1;2021-03-31;GOLDEN WEST VX FUNDO DE INVESTIMENTO IMOBILIARIO;2016-12-28;INVESTIDOR PROFISSIONAL;BR00DXCTF006;167445.28613367;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;26191053000120;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
26.195.121/0001-20;2020-12-01;1;2021-03-30;BRAZIL REAL ESTATE VICTORY FUND I - F.I.I.;2012-05-03;INVESTIDORES EM GERAL;BRBREVCTF008;932846;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;S;N;N;S;N;BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.;26195121000120;AVENIDA NAÇÕES UNIDAS;11857;CJ. 111;BROOKLIN NOVO;SÃO PAULO;SP;04578908;11-5508.3500;;;WWW.BRCAPITAL.COM.BR;brcapital@brcapital.com.br
26.269.251/0001-60;2020-06-01;1;2021-05-03;WHITE BEAR FUNDO DE INVESTIMENTO IMOBILIÁRIO;2018-10-21;INVESTIDOR QUALIFICADO;00000;31977.3176153;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Determinado;2023-10-21;30/06;S;N;N;S;N;ÍNDIGO INVESTIMENTOS DTVM LTDA;26269251000160;RUA IGUATEMI;192;25° andar;ITAIM BIBI;SÃO PAULO;SP;01451-010;11 3113-0060;11 3113-0069;;www.indigodtvm.com.br;compliance@indigodtvm.com.br
26.314.437/0001-93;2020-06-01;3;2020-10-05;FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR DESENVOLVIMENTO;2017-01-27;INVESTIDOR QUALIFICADO;BRRBRMCTF009;539;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;30/06;S;N;N;S;N;BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM;26314437000193;Praia de Botafogo;501;6º Andar;Botafogo;Rio de Janeiro;RJ;22250-040;(11) 3383-3441;;;www.btgpactual.com;ri.fundoslistados@btgpactual.com
26.395.660/0001-02;2020-12-01;1;2021-03-31;FUNDO DE INVESTIMENTO IMOBILIÁRIO TOURMALET I;2016-12-23;INVESTIDOR QUALIFICADO;BRTORMCTF040;10000;N;N;Desenvolvimento para Renda;Residencial;Ativa;Determinado;2020-12-01;31/12/2020;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;26395660000102;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
26.452.053/0001-37;2020-12-01;1;2021-04-27;FUNDO DE INVESTIMENTO IMOBILIÁRIO ANTILHAS;2019-08-29;INVESTIDOR PROFISSIONAL;00000;127084.03335;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;ÍNDIGO INVESTIMENTOS DTVM LTDA;26452053000137;RUA IGUATEMI;192;25° ANDAR;ITAIM BIBI;SÃO PAULO;SP;01451010;11 3113-0060;11 3113-0069;;www.indigodtvm.com.br;compliance@indigodtvm.com.br
26.499.833/0001-32;2020-12-01;1;2021-03-30;MALLS BRASIL PLURAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-12-14;INVESTIDORES EM GERAL;BRMALLCTF007;7560351;N;N;Renda;Shoppings;Ativa;Indeterminado;;31/12;S;N;N;S;N;GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIARIOS S.A.;26499833000132;PR BOTAFOGO;228;SALA 913 PARTE;Rio de Janeiro;Rio de Janeiro;RJ;20091-020;(11) 3206-8340;(11) 3206-8888;;https://www.genialinvestimentos.com.br/;middleadm@bancogenial.com
26.502.761/0001-35;2020-12-01;1;2021-03-31;CATUAÍ FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-09-22;INVESTIDOR PROFISSIONAL;BR003KCTF000;46865.84;N;N;Híbrido;Outros;Ativa;Determinado;2021-09-22;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;26502761000135;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
26.502.794/0001-85;2020-12-01;1;2021-03-31;XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;2018-04-26;INVESTIDORES EM GERAL;BRXPLGCTF002;20757449.0002068;N;N;Renda;Logística;Ativa;Indeterminado;2021-12-31;31/12;S;N;N;S;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;26502794000185;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
26.502.810/0001-30;2020-12-01;1;2021-03-31;XPCE RE FII 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-10-18;INVESTIDOR PROFISSIONAL;BR01MFCTF002;10;N;N;Híbrido;Outros;Ativa;Indeterminado;;31/12;N;N;S;N;N;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;26502810000130;Rua Gilberto Sabino;215;4º Andar;Pinheiros;São Paulo;SP;5425020;11 3030-7177;;;www.vortx.com.br;admfundos@vortx.com.br
26.511.274/0001-39;2020-12-01;1;2021-03-30;RB CAPITAL RENDIMENTOS IMOBILIARIOS FII;2018-07-03;INVESTIDOR QUALIFICADO;BRRCRICTF005;60014;N;N;Títulos e Valores Mobiliários;Títulos e Val. Mob.;Ativa;Indeterminado;;31/12;S;N;N;S;N;OLIVEIRA TRUST DTVM S.A.;26511274000139;Avenida das Américas;3434;Bloco 07 Sala 201;Barra da Tijuca;Rio de Janeiro;RJ;22640-102;(21) 3514-0000;;;www.oliveiratrust.com.br;ger2.fundos@oliveiratrust.com.br
26.545.627/0001-11;2020-12-01;1;2021-03-18;BRL VI FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-03-22;INVESTIDOR QUALIFICADO;;752.0326;N;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;N;S;N;N;BRL TRUST DTVM S.A.;26545627000111;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
26.614.291/0001-00;2020-06-01;1;2020-09-25;GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;2017-01-11;INVESTIDORES EM GERAL;BRGGRCCTF002;6503028;N;N;Desenvolvimento para Renda;Logística;Ativa;Indeterminado;;30/06;S;N;N;S;N;CM CAPITAL MARKETS DTVM LTDA;26614291000100;Rua Gomes de Carvalho;1195;4º ANDAR;Vila Olímpia;SÃO PAULO;SP;04547-004;(11) 3842-1122;(11) 3044-3547;;www.cmcapitalmarkets.com.br;fundos@cmcapitalmarkets.com.br
26.642.727/0001-66;2020-12-01;1;2021-04-01;DIAMANTE FUNDO DE INVESTIMENTO IMOBILIARIO;2017-02-14;INVESTIDOR QUALIFICADO;BRDAMTCTF007;150000000;N;S;Renda;Híbrido;Passiva;Determinado;2027-02-01;31/12;N;S;N;S;N;BANCO MODAL S.A.;26642727000166;PRAIA DE BOTAFOGO;501;5 ANDAR - TORRE PÃO DE AÇÚCAR;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;2132237700;2132237746;;HTTPS://MODAL.COM.BR;FUNDOS.MODAL@MODAL.COM.BR
26.642.834/0001-94;2020-12-01;1;2021-03-31;JIVE ATIVOS IMOBILIÁRIOS II - FII;2016-11-10;INVESTIDOR PROFISSIONAL;;53181773.5630025;S;N;Renda;Híbrido;Ativa;Indeterminado;;31/12;N;S;N;N;S;BANCO MODAL S.A.;26642834000194;PRAIA DE BOTAFOGO;501;5 ANDAR - TORRE PÃO DE AÇÚCAR;BOTAFOGO;RIO DE JANEIRO;RJ;22250040;2132237700;2132237746;;HTTPS://MODAL.COM.BR;FUNDOS.MODAL@MODAL.COM.BR
26.681.370/0001-25;2020-12-01;1;2021-03-30;TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;2016-11-25;INVESTIDORES EM GERAL;BRTEPPCTF006;3616910;N;N;Renda;Lajes Corporativas;Ativa;Indeterminado;;31/12;S;N;N;S;N;BRL TRUST DTVM S.A.;26681370000125;Rua Iguatemi;151;19º andar;Itaim Bibi;São Paulo;SP;01451-011;(11)31330350;;;www.brltrust.com.br;fii@brltrust.com.br
